Case Number;Earthquake;Site;Liquefied?;Data Class;Critical Depth Upper Bound (ft);Critical Depth Lower Bound (ft);Critical Depth (ft);Critical Depth (m);s critical depth (ft);Water Depth (ft);s water table (ft);g1(pcf);sg1 (pcf);g2 (pcf);sg2 (pcf);sv (psf);s sv (psf);sv' (psf) ;s sv' (psf);rss';rd;s rd;a max (g);s a max;Magnitude for KMw;s MSF;CSRs'v,Mw;s CSR;CSRs'v=100kPa,Mw=7.5;s CSRN;D50 (mm) ;s D50;FC %;s FC %;Sampler (SS:standard sampler or SWL: sampler without liners);CS;Rod length;CR;Borehole diameter (mm);CB;"Energy Ratio (SH: Safety Hammer; DH:Donut Hammer or the percentage)";CE;Number of N values;N (mean);s N ;CN ;SPT Correction (Energy+Rod length) ;(N1) 60;s (N1)60 ;Reference;V*s,40ft (fps);;K?;KMw;CSRMw=7.5,s'v=100kPA;N1,60,CS;;;;;;;
1;1944 Tohnankai M=8.0;Ienaga;Yes;B;20.0;8.0;14.0;4.3;2.0;8.0;0.4;100;3;110;3;1460;222.063617;1085.6;101.4859379;0.9664309;0.874484168;0.07;0.20;0.06;8.10;0.17;0.15;0.05;0.19;0.07;0.15;0.05;72.50;36.92;NA;1;Short Rod;0.90;99.00;1;0.70;1.17;4;1.50;0.55;1.396193108;1.46;2.2;0.8;Kishida (1969);470;;1.25;0.84;0.15;5.4;;;;;;;
2;1944 Tohnankai M=8.0;Komei;Yes;B;16.4;6.4;11.4;3.5;1.7;6.4;0.4;100;3;115;3;1214.784777;193.3627326;904.5535958;92.52967449;0.968288076;0.969044415;0.06;0.20;0.06;8.10;0.17;0.17;0.05;0.21;0.08;0.40;0.05;9.67;1.53;NA;1;Short Rod;0.87;99.00;1;0.70;1.17;3;5.75;1.75;1.529548509;1.55;8.9;2.7;Kishida (1969);600;;1.33;0.84;0.15;9.9;;;;;;;
3;1944 Tohnankai M=8.0;Meiko;Yes;B;11.5;1.6;6.5;2.0;1.6;1.6;0.3;100;3;110;3;703.1574803;181.8741666;397.3319685;81.45434084;0.97196809;0.922049089;0.04;0.20;0.06;8.10;0.17;0.21;0.07;0.26;0.10;0.20;0.05;19.33;10.79;NA;1;Short Rod;0.80;99.00;1;0.70;1.17;3;1.95;0.86;2;1.86;3.6;1.6;Kishida (1969);400;;1.75;0.84;0.14;5.5;;;;;;;
4;1948 Fukui M=7.3;Shonenji Temple;Yes;B;13.0;3.9;8.5;2.6;1.5;3.9;0.3;100;3;115;3;912.6948819;175.3973425;631.0841732;83.00198254;0.973545537;0.974356274;0.04;0.40;0.12;7.00;0.10;0.37;0.11;0.31;0.10;0.40;0.05;0.00;2.00;NA;1;Short Rod;0.83;99.00;1;0.70;1.17;3;3.70;1.30;1.831204146;1.77;6.5;2.3;Kishida (1969);600;;1.50;1.17;0.21;7.0;;;;;;;
5;1948 Fukui M=7.3;Takaya 45;Yes;B;40.0;12.3;26.2;8.0;4.6;12.3;0.3;110;3;125;3;3084.25;579.770158;2220.01;294.6407093;0.994023897;0.854495987;0.12;0.35;0.11;7.00;0.10;0.27;0.09;0.23;0.08;0.50;0.05;3.29;1.25;NA;1;Short Rod;1.00;99.00;1;0.78;1.30;7;16.20;2.68;0.97634418;1.27;20.6;3.4;Kishida (1969);620;;0.98;1.17;0.23;21.2;;;;;;;
6;1964 Niigata M=7.5;Arayamotomachi;Yes;A;18.0;3.3;10.7;3.3;2.5;3.3;0.3;100;3;115;3;1177.001312;284.0439371;716.3713911;132.4440069;0.987460808;0.940558935;0.05;0.09;0.01;7.60;0.14;0.09;0.02;0.09;0.02;0.15;0.05;5.00;2.00;NA;1;Short Rod;0.86;99.00;1;0.73;1.22;5;4.40;2.68;1.718744377;1.79;7.9;4.8;Yasuda and Tohno (1988);520;;1.44;0.97;0.06;8.4;;;;;;;
7;1964 Niigata M=7.5;Cc17-1;Yes;B;36.1;16.4;26.2;8.0;3.3;3.0;0.3;100;3;120;3;3089.606299;399.9762488;1639.011024;202.0360349;0.980929287;0.801694128;0.12;0.16;0.02;7.60;0.14;0.16;0.03;0.16;0.04;0.20;0.05;2.00;2.00;NA;1;Short Rod;1.00;99.00;1;0.66;1.09;7;8.75;2.34;1.136290747;1.24;10.9;2.9;Kishida (1966);550;;1.09;0.97;0.15;11.4;;;;;;;
8;1964 Niigata M=7.5;Cc17-2;Yes;A;23.0;11.5;17.2;5.3;1.9;3.0;0.3;100;3;120;3;2006.929134;233.8400425;1119.325984;119.2301435;0.973516521;0.900104485;0.08;0.16;0.02;7.60;0.14;0.17;0.03;0.17;0.04;0.20;0.05;2.00;2.00;NA;1;Short Rod;0.93;99.00;1;0.66;1.09;5;7.95;1.36;1.374998152;1.39;11.1;1.9;Kishida (1966);550;;1.24;0.97;0.14;11.6;;;;;;;
11;1964 Niigata M=7.5;Rail Road-1;Yes;A;32.8;16.4;24.6;7.5;2.7;3.0;0.3;110;3;125;3;3030.787402;347.9923023;1682.554331;183.7857043;0.980515941;0.853750524;0.11;0.16;0.02;7.60;0.14;0.16;0.03;0.17;0.04;0.20;0.05;2.00;2.00;NA;1;Short Rod;0.99;99.00;1;0.66;1.09;6;9.35;1.07;1.121491171;1.21;11.3;1.3;Koizumi (1964);580;;1.08;0.97;0.15;11.9;;;;;;;
13;1964 Niigata M=7.5;River Site;Yes;A;19.7;6.6;13.1;4.0;2.2;2.0;0.3;100;3;110;3;1423.884514;243.0013797;727.8215223;110.6398497;0.972876659;0.929639714;0.06;0.16;0.02;7.60;0.14;0.19;0.03;0.20;0.04;0.40;0.05;0.00;2.00;NA;1;Short Rod;0.89;99.00;1;0.66;1.09;5;4.00;1.15;1.705171088;1.65;6.6;1.9;Ishihara et. al. (1979);540;;1.43;0.97;0.14;7.1;;;;;;;
